blue,red
4.6777564314619,4.77330871393165
4.62670192104175,5.22746733604114
4.32553222911126,4.39908413059807
3.44484256299827,3.48320220102582
4.01949281547127,4.57736587663225
nan,3.43534208339006
6.05558481888534,4.60131984066553
5.22923300120626,6.16554670350868
5.06864388663265,4.81338965673952
3.08784526081884,3.07376653742768
3.20650444255319,3.36874758720217
3.54311647109005,3.91180193255836
4.27584815418786,4.41105680857333
4.06246690110959,3.85819445245514
4.2505699266735,4.23898841907451
3.11034235298358,3.07782525769334
4.64214727048063,4.93627850694811
3.09305878339564,2.99249089499549
3.2806588565968,3.31349999903035
4.08850603616403,4.09367539256886
4.47548966083193,5.37477243858099
4.60170796619251,4.41934321878932
2.60350279231258,2.88106235372416
4.47229759023093,4.79121455148331
nan,nan
4.24490274429483,3.86626689405419
3.69324731610479,3.79674388241743
3.36054420792387,3.0908562708397
4.08484936316727,4.0564284003468
5.60031406476045,5.61344142936058
